w;146;31;58;Ausdauersport;Normalgewicht
w;152;31;65;Ausdauersport;Uebergewicht
m;163;31;69;keinSport;Normalgewicht
m;164;31;100;Kraftsport;Uebergewicht
m;163;31;59;Ausdauersport;Normalgewicht
m;156;31;53;keinSport;Normalgewicht
m;162;31;42;keinSport;Untergewicht
m;159;31;46;keinSport;Untergewicht
w;157;31;67;keinSport;Uebergewicht
m;159;31;55;keinSport;Normalgewicht
w;150;31;111;keinSport;Uebergewicht
m;167;31;58;Ausdauersport;Untergewicht
m;156;31;81;keinSport;Uebergewicht
m;174;31;72;Ausdauersport;Normalgewicht
m;160;31;71;keinSport;Uebergewicht
m;161;31;113;keinSport;Uebergewicht
w;153;31;82;Ausdauersport;Uebergewicht
w;155;31;58;keinSport;Normalgewicht
w;150;31;52;Ausdauersport;Normalgewicht
m;165;31;52;Kraftsport;Untergewicht
m;173;31;74;Ausdauersport;Normalgewicht
w;162;31;61;Ausdauersport;Normalgewicht
m;165;31;63;keinSport;Normalgewicht
m;175;31;108;keinSport;Uebergewicht
m;160;31;71;keinSport;Uebergewicht
w;151;31;46;Ausdauersport;Normalgewicht
w;148;31;90;keinSport;Uebergewicht
w;160;31;52;Ausdauersport;Normalgewicht
m;170;31;95;keinSport;Uebergewicht
m;161;31;114;keinSport;Uebergewicht
m;167;31;42;Ausdauersport;Untergewicht
m;156;31;56;Ausdauersport;Normalgewicht
m;165;31;47;keinSport;Untergewicht
m;151;31;41;keinSport;Untergewicht
w;148;31;53;Kraftsport;Normalgewicht
w;150;31;78;Kraftsport;Uebergewicht
w;147;31;46;Ausdauersport;Normalgewicht
m;159;31;92;Kraftsport;Uebergewicht
w;150;31;40;keinSport;Untergewicht
m;159;31;64;keinSport;Normalgewicht
w;147;31;64;Kraftsport;Normalgewicht
w;148;31;36;keinSport;Untergewicht
m;164;31;76;keinSport;Uebergewicht
m;155;31;63;Ausdauersport;Normalgewicht
m;172;31;64;keinSport;Normalgewicht
m;161;31;57;keinSport;Normalgewicht
w;153;31;54;Ausdauersport;Normalgewicht
w;153;31;47;Ausdauersport;Untergewicht
m;173;31;46;keinSport;Untergewicht
w;153;31;71;Ausdauersport;Uebergewicht
w;151;31;51;keinSport;Normalgewicht
m;158;31;52;Ausdauersport;Normalgewicht
w;155;31;56;keinSport;Normalgewicht
m;160;31;66;Ausdauersport;Normalgewicht
w;146;31;61;keinSport;Uebergewicht
m;160;31;63;Ausdauersport;Normalgewicht
m;157;31;49;keinSport;Untergewicht
w;144;31;89;Kraftsport;Uebergewicht
w;148;31;73;keinSport;Uebergewicht
w;151;31;43;Ausdauersport;Normalgewicht
m;166;31;49;Ausdauersport;Normalgewicht
w;182;31;59;Ausdauersport;Normalgewicht
w;148;31;56;keinSport;Uebergewicht
w;156;31;49;Kraftsport;Normalgewicht
w;147;31;58;Kraftsport;Normalgewicht
m;171;31;67;Kraftsport;Normalgewicht
w;173;31;66;keinSport;Normalgewicht
w;146;31;29;Ausdauersport;Untergewicht
w;176;31;59;keinSport;Untergewicht
w;150;31;48;keinSport;Normalgewicht
m;168;31;79;Ausdauersport;Normalgewicht
m;162;31;56;keinSport;Normalgewicht
w;152;31;66;Ausdauersport;Normalgewicht
w;158;31;79;Ausdauersport;Uebergewicht
m;165;31;40;keinSport;Untergewicht
m;157;31;46;keinSport;Untergewicht
m;170;31;50;keinSport;Untergewicht
w;155;31;46;Ausdauersport;Untergewicht
w;165;31;55;keinSport;Normalgewicht
m;175;31;52;Ausdauersport;Untergewicht
w;148;31;50;keinSport;Normalgewicht
w;161;31;54;keinSport;Normalgewicht
w;148;31;76;Kraftsport;Uebergewicht
m;160;31;62;Ausdauersport;Normalgewicht
w;150;31;52;Ausdauersport;Normalgewicht
w;159;31;59;keinSport;Normalgewicht
m;161;31;65;Ausdauersport;Normalgewicht
w;148;31;52;keinSport;Normalgewicht
m;157;31;51;Ausdauersport;Normalgewicht
w;150;31;59;keinSport;Uebergewicht
w;149;31;49;keinSport;Normalgewicht
w;147;31;80;keinSport;Uebergewicht
w;154;31;44;keinSport;Untergewicht
w;149;31;52;keinSport;Normalgewicht
m;157;31;111;keinSport;Uebergewicht
w;152;31;107;keinSport;Uebergewicht
w;154;31;62;Kraftsport;Normalgewicht
m;152;31;52;keinSport;Normalgewicht
m;153;31;84;keinSport;Uebergewicht
m;150;31;52;keinSport;Normalgewicht
w;149;31;65;keinSport;Uebergewicht
w;148;31;57;keinSport;Uebergewicht
m;168;31;97;keinSport;Uebergewicht
w;148;31;53;Ausdauersport;Normalgewicht
w;153;31;117;keinSport;Uebergewicht
m;169;31;75;keinSport;Uebergewicht
w;154;31;65;keinSport;Uebergewicht
w;158;31;48;keinSport;Untergewicht
m;168;31;41;Ausdauersport;Untergewicht
m;155;31;83;Ausdauersport;Uebergewicht
m;159;31;51;Ausdauersport;Untergewicht
m;161;31;52;Ausdauersport;Untergewicht
w;150;31;50;Kraftsport;Normalgewicht
w;144;31;57;keinSport;Uebergewicht
m;167;31;69;Ausdauersport;Normalgewicht
w;145;31;64;Kraftsport;Normalgewicht
m;172;31;65;keinSport;Normalgewicht
m;159;31;110;keinSport;Uebergewicht
m;163;31;104;Kraftsport;Uebergewicht
w;149;31;56;keinSport;Uebergewicht
w;157;31;63;keinSport;Uebergewicht
w;149;31;61;Kraftsport;Normalgewicht
m;166;31;70;keinSport;Normalgewicht
w;153;31;47;Ausdauersport;Normalgewicht
w;174;31;64;Kraftsport;Normalgewicht
w;155;31;69;keinSport;Uebergewicht
m;153;31;56;Ausdauersport;Normalgewicht
w;152;31;54;Ausdauersport;Normalgewicht
m;164;31;75;keinSport;Uebergewicht
w;158;31;51;keinSport;Normalgewicht
w;151;31;63;Ausdauersport;Normalgewicht
m;151;31;55;Ausdauersport;Normalgewicht
m;169;31;68;Ausdauersport;Normalgewicht
m;165;31;93;keinSport;Uebergewicht
w;145;31;61;Ausdauersport;Uebergewicht
m;170;31;118;keinSport;Uebergewicht
w;153;31;60;Ausdauersport;Normalgewicht
w;153;31;38;keinSport;Untergewicht
w;151;31;63;keinSport;Uebergewicht
w;150;31;61;Ausdauersport;Normalgewicht
m;165;31;43;keinSport;Untergewicht
w;150;31;52;Ausdauersport;Normalgewicht
m;158;31;59;keinSport;Normalgewicht
w;158;31;66;keinSport;Uebergewicht
w;150;31;44;keinSport;Untergewicht
w;155;31;59;Ausdauersport;Normalgewicht
w;157;31;58;keinSport;Normalgewicht
